"species","scan_number","feature_number","compound_number","TIC","cluster_mz","cluster_rt","column","matched","matched","n_match_per_comp","matched_actual"
"IngC",1,"462_2",505,8286.44666666667,211.135385338463,19.9504878529662,"C18",0,0,0,"no_spec"
"IngC",2,"2342_6",934,4529.604,410.102902757257,26.050609493228,"C18",0,0,0,"no_spec"
"IngC",3,"4511_1",1328,3018.26,577.269530673827,28.6006603428457,"C18",0,0,0,"no_spec"
"IngC",4,"697_0",1905,9379.19333333333,243.161405403513,22.1005307261732,"C18",0,0,0,"no_spec"
"IngC",5,"530_1",2310,2203.36333333333,221.156090390226,28.650661339897,"C18",0,0,0,"no_spec"
"IngC",6,"807_0",2458,10691.98,257.176980442451,24.1005706082263,"C18",0,0,0,"no_spec"
"IngC",7,"540_1",2570,2840.94333333333,223.096045240113,15.2503941301414,"C18",0,0,0,"no_spec"
"IngC",8,"912_0",2577,14910.5,271.192555481389,25.8006045079714,"C18",0,0,0,"no_spec"
"IngC",9,"1189_1",4062,2570.226,299.257235643089,31.6007201659253,"C18",0,0,0,"no_spec"
"IngC",10,"1189_0",4315,3115.17333333333,299.257235643089,31.1007101954121,"C18",0,0,0,"no_spec"
"IngC",11,"1014_4",5020,6603.91,283.191535478839,25.6506015168174,"C18",0,0,0,"no_spec"
"IngC",12,"581_0",5057,3133.53333333333,229.179360448401,22.8505456819431,"C18",0,0,0,"no_spec"
"IngC",13,"698_3",5116,4735.65333333333,243.194935487339,24.8005845669449,"C18",0,0,0,"no_spec"
"IngC",14,"790_0",5130,4080.50333333333,255.160385400963,21.7005227497626,"C18",0,0,0,"no_spec"
"IngC",15,"1564_2",5139,2028.01,335.220645551614,30.0006882602829,"C18",0,0,0,"no_spec"
"IngC",16,"893_1",5230,5106.64333333333,269.175960439901,23.8505656229697,"C18",0,0,0,"no_spec"
"IngC",17,"1616_2",5717,2107.82,341.232110580276,26.8506254460493,"C18",0,0,0,"no_spec"
"IngC",18,"674_0",5941,3304.92333333333,241.144810362026,19.3004748912989,"C18",0,0,0,"no_spec"
"IngC",19,"360_0",6099,2501.385,195.084055210138,24.6505815757909,"C18",0,0,0,"no_spec"
"IngC",20,"808_1",6111,5519.8,257.210510526276,26.50061846669,"C18",0,0,0,"no_spec"
"IngC",21,"1042_1",6131,5050.83,285.241660604151,29.5506792868209,"C18",0,0,0,"no_spec"
"IngC",22,"1169_0",6169,6979.74666666667,297.207110517776,27.2506334224599,"C18",0,0,0,"no_spec"
"IngC",23,"913_1",6353,6311.52666666667,271.226085565214,28.1006503723325,"C18",0,0,0,"no_spec"
"IngC",24,"491_0",6682,2841.95,215.163785409464,20.6005008146334,"C18",0,0,0,"no_spec"
"IngC",25,"1479_4",6787,1617.38,327.216535541339,26.2506134814334,"C18",0,0,0,"no_spec"
"IngC",26,"567_2",7220,2062.44666666667,227.129235323088,16.9004270328352,"C18",0,0,0,"no_spec"
"IngC",27,"4214_0",7368,2994.86333333333,554.263103157758,12.9003472687291,"C18",0,0,0,"no_spec"
"IngC",28,"791_0",7762,1996.595,255.193915484789,26.800624448998,"C18",0,0,0,"no_spec"
"IngC",29,"1171_0",8461,2513.815,297.240640601602,31.250713186566,"C18",0,0,0,"no_spec"
"IngC",30,"2781_4",49,7955.155,449.107970269926,11.5503203483432,"C18",1,1,2,"matched"
"IngC",31,"1223_5",49,1998.05333333333,303.050925127313,11.4503183542406,"C18",1,1,2,"no_spec"
"IngC",32,"1035_4",49,1796.30333333333,285.0404801012,11.5003193512919,"C18",0,0,2,"no_spec"
"IngC",33,"2899_1",66,25208.498,457.078550196375,8.80026551052027,"C18",1,1,5,"matched"
"IngC",34,"199_5",66,24713.62,169.01202003005,8.85026650757159,"C18",1,1,5,"no_spec"
"IngC",35,"1248_3",66,6390.548,305.0675201688,8.75026451346894,"C18",1,1,5,"matched"
"IngC",36,"3187_2",66,5973.416,479.059915149788,8.85026650757159,"C18",0,0,5,"no_spec"
"IngC",37,"2911_1",66,5417.684,458.079662699157,8.80026551052027,"C18",1,1,5,"matched"
"IngC",38,"199_0",96,2543.8325,169.01202003005,1.70012392923185,"C18",1,1,1,"no_spec"
"IngC",39,"43_0",96,2435.50333333333,125.02534006335,1.70012392923185,"C18",0,0,1,"no_spec"
"IngC",40,"3012_2",282,3170.03,465.101820254551,9.8002854515468,"C18",1,1,1,"matched"
"IngC",41,"1063_4",305,2083.25888888889,287.219935549839,20.3504958293768,"C18",1,1,1,"matched"
"IngC",42,"2966_2",340,15581.258,463.085225213063,11.05031037783,"C18",1,1,3,"matched"
"IngC",43,"2992_0",340,4373.79428571429,464.091127727819,11.0003093807787,"C18",1,1,3,"matched"
"IngC",44,"5090_2",340,2836.85333333333,615.096255240638,10.8003053925733,"C18",1,1,3,"matched"
"IngC",45,"6052_1",426,9205.876,675.35939589849,27.1506314283572,"C18",1,1,2,"matched"
"IngC",46,"6071_0",426,3618.42,676.360508401271,27.1506314283572,"C18",0,0,2,"no_spec"
"IngC",47,"6726_0",426,2153.36,721.362670906677,27.1506314283572,"C18",1,1,2,"matched"
"IngC",48,"2207_5",426,1868.6075,397.136340340851,27.3006344195112,"C18",0,0,2,"no_spec"
"IngC",49,"4809_2",586,2336.436,597.181610454026,11.8003253335999,"C18",1,1,1,"matched"
"IngC",50,"9953_1",647,2262.278,913.145170362926,10.750304395522,"C18",1,1,1,"matched"
"IngC",51,"448_3",743,4371.206,209.02778006945,6.00020967564596,"C18",1,1,1,"no_spec"
"IngC",52,"1248_2",835,5346.135,305.0675201688,6.65022263731321,"C18",1,1,1,"matched"
"IngC",53,"168_4",855,3948.9675,163.038875097188,7.65024257833975,"C18",1,1,1,"matched"
"IngC",54,"288_2",877,3247.68,183.137765344413,18.8004649207856,"C18",1,1,1,"no_spec"
"IngC",55,"7306_2",884,41567.36,761.134140335351,6.95022861962117,"C18",1,1,5,"matched"
"IngC",56,"7325_2",884,15041.36,762.140042850107,6.95022861962117,"C18",1,1,5,"matched"
"IngC",57,"7278_1",884,4787.188,759.117545293863,7.0002296166725,"C18",1,1,5,"matched"
"IngC",58,"7665_0",884,4558.082,783.115505288763,6.95022861962117,"C18",1,1,5,"matched"
"IngC",59,"7344_1",884,3834.94,763.141155352888,6.95022861962117,"C18",1,1,5,"matched"
"IngC",60,"1036_0",1042,3098.77,285.0596401491,5.85020668449198,"C18",1,1,1,"no_spec"
"IngC",61,"438_0",1311,22357.62,207.078245195613,3.35015683192563,"C18",1,1,2,"matched"
"IngC",62,"31_1",1311,5972.33,120.053307633269,3.35015683192563,"C18",0,0,2,"no_spec"
"IngC",63,"2636_0",1311,2152.8,437.142520356301,3.30015583487431,"C18",1,1,2,"matched"
"IngC",64,"1183_4",1322,4829.804,299.056055140138,12.1003313159078,"C18",1,1,1,"matched"
"IngC",65,"1127_5",1383,2542.41,293.212240530601,27.6506413988705,"C18",1,1,1,"matched"
"IngC",66,"3586_1",1433,4171.47,507.220395550989,13.7503642186016,"C18",1,1,1,"matched"
"IngC",67,"199_5",1553,6033.132,169.01202003005,8.85026650757159,"C18",1,1,3,"no_spec"
"IngC",68,"12443_2",1553,5637.216,1065.18973047433,8.5002595282123,"C18",1,1,3,"matched"
"IngC",69,"12456_2",1553,2621.634,1066.19084297711,8.5002595282123,"C18",1,1,3,"matched"
"IngC",70,"2081_0",1681,2519.205,387.163535408839,8.95026850167425,"C18",1,1,3,"matched"
"IngC",71,"9929_0",1681,2113.485,912.134477836194,9.10027149282823,"C18",1,1,3,"matched"
"IngC",72,"6184_1",1681,1682.7175,684.101167752919,9.0502704957769,"C18",1,1,3,"no_spec"
"IngC",73,"1148_3",1755,3542.798,295.228835572089,28.950667322205,"C18",1,1,1,"matched"
"IngC",74,"1480_0",1972,8912.62333333333,327.254855637139,31.4507171747714,"C18",1,1,1,"no_spec"
"IngC",75,"1595_0",1972,5395.28666666667,339.253835634589,31.5007181718227,"C18",0,0,1,"no_spec"
"IngC",76,"1041_6",2044,14016.1666666667,285.208130520326,27.3006344195112,"C18",0,0,1,"no_spec"
"IngC",77,"877_2",2044,5099.47333333333,267.197685494214,27.3006344195112,"C18",0,0,1,"no_spec"
"IngC",78,"1272_4",2044,3846.95666666667,307.189495473739,27.3006344195112,"C18",1,1,1,"no_spec"
"IngC",79,"1052_0",2044,2097.81666666667,286.209243023108,27.3506354165626,"C18",0,0,1,"no_spec"
"IngC",80,"9953_0",2368,8737.62,913.145170362926,8.40025753410965,"C18",1,1,2,"matched"
"IngC",81,"9968_0",2368,3765.896,914.146282865707,8.35025653705832,"C18",0,0,2,"no_spec"
"IngC",82,"7290_1",2368,2880.88,760.12344780862,8.20025354590434,"C18",1,1,2,"matched"
"IngC",83,"3674_2",2605,2632.48,513.303710759277,29.2006723074616,"C18",1,1,1,"matched"
"IngC",84,"7306_4",2743,1994.78,761.134140335351,9.90028744564946,"C18",1,1,1,"matched"
"IngC",85,"8606_0",2829,2717.152,836.131357828394,8.45025853116098,"C18",1,1,2,"matched"
"IngC",86,"8620_0",2829,2048.512,836.634309085773,8.40025753410965,"C18",1,1,2,"no_spec"
"IngC",87,"489_0",2903,5098.31333333333,215.130255325638,17.6504419886051,"C18",0,0,1,"no_spec"
"IngC",88,"370_3",2903,4746.00666666667,197.119810299526,17.6504419886051,"C18",1,1,1,"no_spec"
"IngC",89,"648_0",2903,2739.85666666667,237.111620279051,17.6004409915538,"C18",0,0,1,"no_spec"
"IngC",90,"1188_2",2961,13650.0266666667,299.223705559264,28.7006623369484,"C18",1,1,1,"matched"
"IngC",91,"1426_0",2961,3108.66,321.205070512676,28.7506633339997,"C18",0,0,1,"no_spec"
"IngC",92,"1000_1",2961,2860.05333333333,281.213260533151,28.7006623369484,"C18",0,0,1,"no_spec"
"IngC",93,"1199_1",2961,1937.00333333333,300.224818062045,28.7506633339997,"C18",0,0,1,"no_spec"
"IngC",94,"1335_4",3092,11522.35,313.239280598202,30.1006902543855,"C18",1,1,1,"no_spec"
"IngC",95,"1460_0",3092,6959.84,325.238260595651,30.1006902543855,"C18",0,0,1,"no_spec"
"IngC",96,"353_1",3732,13519.138,194.082942707357,24.6505815757909,"C18",1,1,1,"no_spec"
"IngC",97,"7290_1",3790,2498.71,760.12344780862,8.20025354590434,"C18",1,1,2,"matched"
"IngC",98,"6185_1",3790,2280.755,684.120327800819,7.95024856064771,"C18",1,1,2,"matched"
"IngC",99,"3553_2",4205,4053.17666666667,505.208590521476,12.2503343070618,"C18",1,1,1,"matched"
"IngC",100,"4281_2",4868,2069.98666666667,559.311775779439,29.100670313359,"C18",1,1,1,"matched"
"IngC",101,"1613_3",5842,4690.4,341.141100352751,14.9503881478335,"C18",1,1,1,"matched"
"IngC",102,"1309_5",6061,7396.4,311.222685556714,28.7006623369484,"C18",1,1,1,"matched"
"IngC",103,"894_4",6997,2219.45333333333,269.214280535701,28.4506573516917,"C18",1,1,1,"no_spec"
